epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6906,1.27755,1.50895,1.30536,0.94549,0.99108,0.99115,0.66868,1.03892,1.32002,1.11469,0.000661202,0.000661202,0.000661202
2,42.6671,1.17486,0.9131,1.21816,0.97825,0.98776,0.98775,0.65569,1.15762,0.90162,1.17793,0.00130158,0.00130158,0.00130158
3,63.1838,1.17024,0.79724,1.21515,0.99902,1,0.995,0.6879,1.08599,0.67623,1.14565,0.00191555,0.00191555,0.00191555
4,83.2414,1.11566,0.6733,1.18024,0.99593,0.99771,0.995,0.73583,0.94831,0.57502,1.07768,0.0018812,0.0018812,0.0018812
5,103.962,1.08871,0.64043,1.17467,0.99947,0.99592,0.995,0.73307,1.01287,0.46447,1.06201,0.0018416,0.0018416,0.0018416
6,123.301,1.05271,0.6031,1.15799,0.99158,1,0.995,0.75405,0.86057,0.54236,1.04578,0.001802,0.001802,0.001802
7,139.547,1.00854,0.57526,1.13849,0.99961,0.99592,0.995,0.76595,0.85285,0.4413,1.02464,0.0017624,0.0017624,0.0017624
8,158.807,0.99303,0.55853,1.11861,1,0.99989,0.995,0.7055,1.01819,0.42636,1.07527,0.0017228,0.0017228,0.0017228
9,179.096,0.97398,0.54179,1.11292,1,1,0.995,0.75016,0.95021,0.42486,1.05038,0.0016832,0.0016832,0.0016832
10,199.668,0.94643,0.52647,1.0982,0.99967,1,0.995,0.74213,0.93776,0.39233,1.03298,0.0016436,0.0016436,0.0016436
11,219.888,0.94913,0.51105,1.1005,0.99913,0.99592,0.995,0.7486,0.93286,0.41017,1.05152,0.001604,0.001604,0.001604
12,240.705,0.91297,0.49967,1.08321,1,0.99966,0.995,0.79649,0.79758,0.37559,1.00037,0.0015644,0.0015644,0.0015644
13,261.514,0.90387,0.49096,1.08699,0.99952,1,0.995,0.69786,1.0738,0.42418,1.0895,0.0015248,0.0015248,0.0015248
14,282.06,0.90682,0.4909,1.08436,0.99948,1,0.995,0.7698,0.86529,0.37328,1.02348,0.0014852,0.0014852,0.0014852
15,302.563,0.88936,0.47668,1.07445,1,0.99969,0.995,0.79176,0.76064,0.35959,0.99498,0.0014456,0.0014456,0.0014456
16,322.993,0.86371,0.46251,1.07131,0.99917,0.99592,0.995,0.77668,0.81248,0.35283,0.99684,0.001406,0.001406,0.001406
17,343.298,0.87728,0.4614,1.06444,0.9996,1,0.995,0.75273,0.93227,0.39546,1.07298,0.0013664,0.0013664,0.0013664
18,362.113,0.84862,0.45164,1.06265,0.99972,1,0.995,0.79145,0.79584,0.33707,1.00202,0.0013268,0.0013268,0.0013268
19,382.11,0.85727,0.45636,1.06743,0.99972,1,0.995,0.79873,0.75405,0.33367,0.98882,0.0012872,0.0012872,0.0012872
20,402.352,0.83664,0.45193,1.05696,0.99974,1,0.995,0.79276,0.78037,0.34281,0.99393,0.0012476,0.0012476,0.0012476
21,421.971,0.82,0.43173,1.05195,0.99984,1,0.995,0.78713,0.7783,0.30822,0.9783,0.001208,0.001208,0.001208
22,441.68,0.83417,0.43249,1.05936,1,0.9959,0.995,0.77811,0.85189,0.35555,1.03089,0.0011684,0.0011684,0.0011684
23,461.097,0.81553,0.42896,1.05124,0.99571,1,0.995,0.80159,0.77962,0.32821,0.98895,0.0011288,0.0011288,0.0011288
24,480.479,0.80444,0.4245,1.04353,1,0.99976,0.995,0.80274,0.76058,0.31738,0.97966,0.0010892,0.0010892,0.0010892
25,500.464,0.80334,0.4141,1.04608,0.99975,1,0.995,0.79274,0.78244,0.32163,0.99394,0.0010496,0.0010496,0.0010496
26,521.112,0.79523,0.41139,1.04293,0.99973,1,0.995,0.8037,0.72178,0.30064,0.97897,0.00101,0.00101,0.00101
27,541.576,0.77449,0.405,1.03685,0.99977,1,0.995,0.82235,0.72436,0.29147,0.96427,0.0009704,0.0009704,0.0009704
28,561.867,0.76593,0.39748,1.02575,0.99971,1,0.995,0.82403,0.72453,0.29667,0.98641,0.0009308,0.0009308,0.0009308
29,582.294,0.7658,0.39714,1.02661,0.99975,1,0.995,0.81534,0.73892,0.30689,0.96678,0.0008912,0.0008912,0.0008912
30,602.322,0.7725,0.39244,1.02967,0.99976,1,0.995,0.82524,0.72367,0.30745,0.97493,0.0008516,0.0008516,0.0008516
31,622.531,0.77272,0.39245,1.0407,0.99978,1,0.995,0.82556,0.72516,0.29311,0.97137,0.000812,0.000812,0.000812
32,643.032,0.75408,0.37284,1.0246,0.99972,1,0.995,0.8304,0.72384,0.28398,0.96623,0.0007724,0.0007724,0.0007724
33,663.462,0.74844,0.38319,1.02859,0.99981,1,0.995,0.82409,0.73382,0.29319,1.00147,0.0007328,0.0007328,0.0007328
34,684.331,0.72951,0.37437,1.02162,0.99974,1,0.995,0.84066,0.69466,0.28674,0.9737,0.0006932,0.0006932,0.0006932
